signe,participant_ID,âge,sexe,Natif,AoA,utilisation_LSF,surdité,note_freq,note_concret,note_iconic
soir,A14,69,F,0,24,3,0,5,4,3
soir,A15,34,M,1,0,5,1,5,5,5
soir,A16,25,F,0,16,4,1,5,5,4
marron,A1,27,F,1,0,5,1,5,1,1
marron,A2,26,F,0,16,3,0,5,4,3
marron,A3,26,M,1,0,5,1,5,1,4
marron,A4,41,F,0,9,5,1,5,5,2
marron,A5,27,M,1,0,5,1,2,1,1
marron,A6,47,M,0,12,5,1,5,5,5
marron,A7,52,M,0,16,5,1,5,1,1
marron,A8,22,F,0,11,4,1,1,4,1
marron,A9,28,M,1,0,5,1,5,2,2
marron,A10,36,M,1,0,5,1,4,4,2
marron,A11,33,M,1,0,5,1,4,2,1
marron,A12,25,M,1,0,3,1,5,5,5
marron,A13,22,F,0,6,2,1,3,1,1
marron,A14,69,F,0,24,3,0,3,2,2
marron,A15,34,M,1,0,5,1,4,1,1
marron,A16,25,F,0,16,4,1,1,2,2
vélo,A1,27,F,1,0,5,1,5,5,5
vélo,A2,26,F,0,16,3,0,2,3,4
vélo,A3,26,M,1,0,5,1,5,5,5
vélo,A4,41,F,0,9,5,1,5,4,2
vélo,A5,27,M,1,0,5,1,4,5,5
vélo,A6,47,M,0,12,5,1,5,5,5
vélo,A7,52,M,0,16,5,1,5,4,3
vélo,A8,22,F,0,11,4,1,1,5,4
vélo,A9,28,M,1,0,5,1,5,4,5
vélo,A10,36,M,1,0,5,1,4,5,3
vélo,A11,33,M,1,0,5,1,5,3,3
vélo,A12,25,M,1,0,3,1,4,4,5
vélo,A13,22,F,0,6,2,1,4,4,4
vélo,A14,69,F,0,24,3,0,4,2,1
vélo,A15,34,M,1,0,5,1,4,5,5
vélo,A16,25,F,0,16,4,1,4,4,5
passion,A1,27,F,1,0,5,1,4,1,1
passion,A2,26,F,0,16,3,0,4,3,2
passion,A3,26,M,1,0,5,1,5,1,2
passion,A4,41,F,0,9,5,1,4,4,4
passion,A5,27,M,1,0,5,1,3,4,4
passion,A6,47,M,0,12,5,1,3,5,4
passion,A7,52,M,0,16,5,1,4,1,1
passion,A8,22,F,0,11,4,1,1,2,1
passion,A9,28,M,1,0,5,1,3,2,2
passion,A10,36,M,1,0,5,1,3,4,4
passion,A11,33,M,1,0,5,1,4,3,1
passion,A12,25,M,1,0,3,1,5,5,5
passion,A13,22,F,0,6,2,1,5,1,1
passion,A14,69,F,0,24,3,0,1,2,4
passion,A15,34,M,1,0,5,1,5,3,1
passion,A16,25,F,0,16,4,1,4,4,5
quoi,A1,27,F,1,0,5,1,5,1,1
quoi,A2,26,F,0,16,3,0,2,2,2
quoi,A3,26,M,1,0,5,1,5,1,1
quoi,A4,41,F,0,9,5,1,5,5,4
quoi,A5,27,M,1,0,5,1,5,5,3
quoi,A6,47,M,0,12,5,1,5,4,5
quoi,A7,52,M,0,16,5,1,5,1,2
quoi,A8,22,F,0,11,4,1,3,5,1
quoi,A9,28,M,1,0,5,1,5,4,2
quoi,A10,36,M,1,0,5,1,5,2,1
quoi,A11,33,M,1,0,5,1,5,3,1
quoi,A12,25,M,1,0,3,1,5,5,5
quoi,A13,22,F,0,6,2,1,5,1,1
quoi,A14,69,F,0,24,3,0,5,2,2
quoi,A15,34,M,1,0,5,1,5,1,1
quoi,A16,25,F,0,16,4,1,5,5,5
cocon,A1,27,F,1,0,5,1,1,5,5
cocon,A2,26,F,0,16,3,0,4,3,4
cocon,A3,26,M,1,0,5,1,1,1,1
cocon,A4,41,F,0,9,5,1,1,1,1
cocon,A5,27,M,1,0,5,1,1,5,5
cocon,A6,47,M,0,12,5,1,1,1,3
cocon,A7,52,M,0,16,5,1,3,4,4
cocon,A8,22,F,0,11,4,1,1,2,4
cocon,A9,28,M,1,0,5,1,2,2,2
cocon,A10,36,M,1,0,5,1,1,2,4
cocon,A11,33,M,1,0,5,1,2,2,3
cocon,A12,25,M,1,0,3,1,1,1,2
cocon,A13,22,F,0,6,2,1,1,1,1
cocon,A14,69,F,0,24,3,0,2,5,4
cocon,A15,34,M,1,0,5,1,1,1,1
cocon,A16,25,F,0,16,4,1,1,1,1
dauphin,A1,27,F,1,0,5,1,5,5,5
dauphin,A2,26,F,0,16,3,0,5,5,5
dauphin,A3,26,M,1,0,5,1,5,4,5
dauphin,A4,41,F,0,9,5,1,3,5,5
dauphin,A5,27,M,1,0,5,1,3,5,5
dauphin,A6,47,M,0,12,5,1,3,4,4
dauphin,A7,52,M,0,16,5,1,4,4,4
dauphin,A8,22,F,0,11,4,1,1,4,5
dauphin,A9,28,M,1,0,5,1,3,3,4
dauphin,A10,36,M,1,0,5,1,2,5,4
dauphin,A11,33,M,1,0,5,1,3,3,4
dauphin,A12,25,M,1,0,3,1,1,2,2
dauphin,A13,22,F,0,6,2,1,1,1,2
dauphin,A14,69,F,0,24,3,0,3,5,3
dauphin,A15,34,M,1,0,5,1,4,3,4
dauphin,A16,25,F,0,16,4,1,1,1,1
monde,A1,27,F,1,0,5,1,5,1,5
monde,A2,26,F,0,16,3,0,3,5,3
monde,A3,26,M,1,0,5,1,5,1,4
monde,A4,41,F,0,9,5,1,5,5,3
monde,A5,27,M,1,0,5,1,4,5,4
monde,A6,47,M,0,12,5,1,5,5,5
monde,A7,52,M,0,16,5,1,4,2,2
monde,A8,22,F,0,11,4,1,1,5,5
monde,A9,28,M,1,0,5,1,5,4,5
monde,A10,36,M,1,0,5,1,4,4,3
monde,A11,33,M,1,0,5,1,5,4,4
monde,A12,25,M,1,0,3,1,5,5,5
monde,A13,22,F,0,6,2,1,4,3,4
monde,A14,69,F,0,24,3,0,4,3,3
monde,A15,34,M,1,0,5,1,4,3,3
monde,A16,25,F,0,16,4,1,5,5,5
regarder,A1,27,F,1,0,5,1,5,1,5
regarder,A2,26,F,0,16,3,0,4,4,3
regarder,A3,26,M,1,0,5,1,4,3,5
regarder,A4,41,F,0,9,5,1,5,5,5
regarder,A5,27,M,1,0,5,1,5,5,5
regarder,A6,47,M,0,12,5,1,1,2,2
regarder,A7,52,M,0,16,5,1,5,1,4
regarder,A8,22,F,0,11,4,1,1,2,3
regarder,A9,28,M,1,0,5,1,2,2,2
regarder,A10,36,M,1,0,5,1,2,4,4
regarder,A11,33,M,1,0,5,1,1,4,4
regarder,A12,25,M,1,0,3,1,3,3,2
regarder,A13,22,F,0,6,2,1,4,4,5
regarder,A14,69,F,0,24,3,0,4,4,4
regarder,A15,34,M,1,0,5,1,5,5,5
regarder,A16,25,F,0,16,4,1,4,3,4
intéressant,A1,27,F,1,0,5,1,5,1,1
intéressant,A2,26,F,0,16,3,0,2,4,4
intéressant,A3,26,M,1,0,5,1,5,1,1
intéressant,A4,41,F,0,9,5,1,5,5,2
intéressant,A5,27,M,1,0,5,1,5,4,1
intéressant,A6,47,M,0,12,5,1,5,5,5
intéressant,A7,52,M,0,16,5,1,5,1,1
intéressant,A8,22,F,0,11,4,1,3,5,1
intéressant,A9,28,M,1,0,5,1,4,4,2
intéressant,A10,36,M,1,0,5,1,4,3,2
intéressant,A11,33,M,1,0,5,1,4,2,1
